(163, 32, 222, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(164, 32, 156, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(165, 32, 152, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(166, 32, 229, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(167, 32, 157, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(168, 32, 219, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(169, 37, 61, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(170, 32, 164, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(171, 32, 116, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(172, 32, 90, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(173, 75, 185, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(174, 32, 174, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(175, 32, 193, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(176, 32, 243, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(177, 58, 59, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(178, 32, 133, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(179, 50, 169, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(180, 32, 156, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(181, 32, 190, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(182, 62, 71, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(183, 32, 235, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(184, 32, 53, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(185, 35, 223, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(186, 32, 130, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(187, 84, 104, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(188, 117, 233, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(189, 32, 50, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(190, 32, 222, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(191, 32, 206, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(192, 167, 98, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(193, 32, 205, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(194, 32, 100, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(195, 32, 127, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(196, 32, 226, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(197, 32, 75, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(198, 81, 151, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(199, 32, 70, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(200, 32, 120, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(201, 63, 165, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(202, 256, 252, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(203, 32, 115, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(204, 32, 217, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(205, 176, 216, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(206, 32, 138, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(207, 42, 89, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(208, 58, 54, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(209, 32, 60, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(210, 32, 224, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(211, 32, 192, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(212, 256, 143, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(213, 32, 60, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(214, 32, 241, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(215, 32, 205, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(216, 109, 176, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(217, 32, 214, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(218, 32, 167, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(219, 40, 161, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(220, 32, 187, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(221, 40, 103, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(222, 58, 200, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(223, 166, 52, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(224, 32, 88, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(225, 32, 135, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(226, 32, 252, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(227, 35, 233, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
